ID,Caption,Date,Era,Facts,Sources,Conflicts
chvrches-sxsw-dj-set-2016-03-15,"CHVRCHES DJ Set at SXSW — Maggie Mae's, Austin, 2016-03-10",15.03.2016,Every Open Eye,"- CHVRCHES performed a DJ set at SXSW on 2016-03-15, scheduled at 7:15pm at Maggie Mae's in Austin, Texas. [1]","1. www.austinchronicle.com-music-tuesday-sxsw-picks-11766426
2. schedule.sxsw.com-2016-2016-events-event-MS36440"
a-work-of-fiction-song,"""A Work of Fiction"" — Lauren Mayberry Solo Track",,Vicious Creature,"- ""A Work of Fiction"" supplied the final title of the Vicious Creature album; Mayberry had originally wanted to name the entire album ""Fiction"" before the phrase ""a work of fiction"" — taken from this track's lyric — was adopted as the album's title instead. [1]
- The song was co-written with Ethan Gruska. Mayberry told Gruska she wanted ""a Tori Amossy piano part""; he said he didn't listen to Tori Amos much, then produced an immediately striking piano part that Mayberry felt delivered exactly what she had in mind. [1]
- Ethan Gruska had previously worked with Phoebe Bridgers; Mayberry described him as ""really amazing and such a lovely talented person."" [1]
- Mayberry described the song as having ""a kind of hazy nostalgia,"" writing about memories she associates with both good and bad forms of nostalgia. [1]
",1. www.youtube.com-watch-v-5pbl7IGVk0s
acl-festival-2014-10,"CHVRCHES at Austin City Limits Festival, October 2014",10.10.2014,The Bones of What You Believe,"- CHVRCHES performed at Austin City Limits Festival for the first time on 2014-10-10 (Weekend 2; ACL 2014 ran over two weekends: Oct 3–5 and Oct 10–12). [1,2]
- CHVRCHES were listed on the ACL 2014 Weekend 2 live-stream schedule on 2014-10-10 in the 5:15 p.m. CST slot on Channel 1, as part of a Red Bull TV partnership with ACL organisers. [2]
- Lauren Mayberry identified ACL 2014 as approximately the band's eighth or ninth visit to the United States. [1]
- Lauren Mayberry described ACL 2014 as the last stop of The Bones of What You Believe touring cycle. [1]
- Martin Doherty stated that the ACL 2014 visit was ""hands down the best one yet"" in reference to the band's US visits overall. [1]
- Martin Doherty stated that by the end of the TBOWYTB touring cycle, CHVRCHES had developed a habit of buying doughnuts or popsicles (ice lollies) for fans who queue from midday for evening shows. [1]
- Lauren Mayberry noted that the last US festival CHVRCHES had played before ACL 2014 was SXSW ""at the start of last year"" (i.e., early 2013). [1]
- Martin Doherty stated at ACL 2014 that the second album would prioritise songwriting first and that the overall sound had not yet been determined, adding ""I'm quite excited by that because it's more fun that way."" [1]","1. www.youtube.com-watch-v-566cY1q6s-A
2. www.spinmagazine.com-2014-10-austin-city-limits-2014-live-stream-beck-jenny-lewis-interpol-skrillex"
acl-festival-2018-10,"CHVRCHES at Austin City Limits Festival, October 2018",13.10.2018,Love Is Dead,"- CHVRCHES performed at Austin City Limits Festival on 2018-10-13, their second appearance at the festival's Honda stage. [1]
- The partial setlist included: ""Get Out"" (opener), ""Bury It"", ""Gun"", ""Graffiti"", ""Miracle"", ""Deliverance"", ""Forever"", ""Recover"", ""Leave a Trace"", ""Clearest Blue"", ""The Mother We Share""; ""The Mother We Share"" was described as the penultimate song. (List is partial.) [1]
- Lauren Mayberry called Texas senator Ted Cruz a ""cock popsicle"" from the stage. [1]
- Mayberry dedicated ""Leave a Trace"" to women survivors of sexual assault and abuse, saying from the stage: ""This is for all the ladies who have survived something. Because it is not our job to get walked over by men."" [1]",1. www.austinchronicle.com-music-acl-live-review-chvrches-12099514
addicted-to-love-single-2026-01,"""Addicted To Love"" (CHVRCHES Single, January 2026)",16.01.2026,CHV 5,"- ""Addicted To Love"" was released in Australia as a commercial single on 2026-01-16 on Hollywood Records, per the australian-charts.com singles discography; this is the first corpus source to confirm Hollywood Records as the label for 2026 CHVRCHES material. [1]",1. australian-charts.com-showinterpret.asp-interpret-Chvrches
aereogramme-dissolution-2007,Aereogramme Dissolve After 2007 US Tour,,My Heart Has a Wish That You Would Not Go,"- After a draining US tour in 2007, Aereogramme dissolved. Iain Cook described it as ""the most depressing month of my life."" [1]
- The 2007 tour was Aereogramme's return to the US after a few years away; the band had hoped to ""plug back into"" the buzz from 2003, when they released the Sleep And Release album, but Cook said: ""And by the time we actually came back, it was all fucked, and nobody gave a shit."" [1]
- Martin Doherty had recently joined Aereogramme as a touring keyboardist when the band dissolved, experiencing the psychological breakdown of the collapse without the context of having watched the band's trajectory deteriorate over time. Cook described Doherty as having been ""thrown right into the middle of it."" [1]
- A pivotal moment on the final Aereogramme US tour was a canceled show in Dallas: Cook and the band arrived at the venue, and Campbell McNeil (the band's bassist and later CHVRCHES' manager) went inside to check in. The cleaning lady told McNeil the show had been canceled because no one had bought any tickets — that was how the band found out. Cook recalled: ""The cleaning lady was like, 'The gig's been canceled. No one was interested in buying any tickets. That's how we found out that we had no gig that night! We were like, 'Shit. This really has been bad'."" [2]
- During the final Aereogramme tour, Doherty and Cook were rooming together on the road. After a particularly terrible night, they resolved to pursue a new direction. Cook stated: ""We sat down after a particular terrible night and were like, 'This is crap. Can't we do something that people might actually pay to listen to and want to hear?' I think that was the point for me when things began to change. Enough of this. We got this out of our system. It was a blast, but another six weeks in a smoke-filled van full of beardy guys is not how I want to spend the rest of my life. I've done it for 10 years, and I've had enough of it'."" [2]","1. consequence.net-2013-09-cover-story-chvrches
2. www.undertheradarmag.com-interviews-chvrches_-_the_under_the_radar_cover_story"
afterglow-song,Afterglow (Every Open Eye — closing track),,Every Open Eye,"- The lead vocal on ""Afterglow"" was recorded in a single take during the Every Open Eye sessions. Mayberry: ""It's the one song on the album that's a once-through vocal."" She elaborated in a separate interview: ""With 'Afterglow', I think if you had a really over-produced, overdone vocal on that song, it would be too much. It needs to have that rawness about it."" [1,2]
- The band fell out over ""Afterglow"" for approximately six weeks during the Every Open Eye recording sessions. Doherty: ""We all have a great relationship but we fell out over that song for about six weeks. We really butted heads."" Mayberry: ""I was like, 'get away from me with that trance beat'."" [2]
- On the last day of the Every Open Eye recording sessions, the song was pulled from the shelf, slowed down, its drum track deleted, and the lead vocal re-recorded in a single pass. [2]
- The single-take vocal captured prominent ambient room sounds. Mayberry: ""It's weird how much noise you make... All these swallowing, breathing sounds. There's a bit where you can hear the radiator clinking! But I like that — all those things give it personality. There's a lot of vocals you hear on the radio that don't have any character."" [2]
- Witnessing Mayberry's vocal performance made Doherty emotional; the song went from nearly being discarded to closing the album. Doherty: ""Witnessing Lauren's performance on Afterglow actually made me quite emotional. And we were like 'right, that's closing the record'. It went from the bin to one of the most important pieces of music on the album."" [2]
- Mayberry: ""The record wouldn't be the same without it."" [2]
- The SXSW 2016 official CHVRCHES artist bio characterises ""Afterglow"" (alongside ""Down Side Of Me"" and ""Clearest Blue"") as being about ""moving on to better things, holding on to the good and letting go of the bad."" This represents the band's/label's own promotional framing of the song's lyrical theme. [3]","1. www.soundonsound.com-people-chvrches
2. www.bbc.co.uk-news-entertainment-arts-34340401
3. schedule.sxsw.com-2016-2016-events-event-MS36440"
anywhere-but-dancing-song,"""Anywhere But Dancing"" — Lauren Mayberry Solo Track",,Vicious Creature,"- Lauren Mayberry described ""Anywhere But Dancing"" as deliberately evoking the style of Frightened Rabbit: ""I want to do that kind of like a Frightened Rabbitty type."" She added: ""Obviously would never could never hold a candle to that, lyrically or otherwise."" [1]
- The song is about Scotland and about where Mayberry is from; the lyrical focus on place was a deliberate reason to give it a Frightened Rabbit-influenced sonic character. [1]
- Mayberry described the song as ""not really about me necessarily,"" distinguishing it from the more directly autobiographical tracks on the album. [1]",1. www.youtube.com-watch-v-5pbl7IGVk0s
are-you-awake-single-2023-09,"Lauren Mayberry Debut Solo Single ""Are You Awake?"", September 2023",,Vicious Creature,"- In September 2023, Lauren Mayberry released her debut solo single, ""Are You Awake?"" — described by AllMusic as an ""inward-looking ballad"" and by NPR's All Things Considered as ""a slow piano ballad that sounds nothing like the electro-dance-pop of Chvrches."" The single was released just a few days before Mayberry's first solo concert on 2023-09-04. The Skinny (April 2024) confirms the song was produced in collaboration with Canadian artist Tobias Jesso Jr., described as the first-ever GRAMMY winner for Songwriter of the Year and a fellow LA resident. [1,2,3]
- At the time of releasing ""Are You Awake?"" in September 2023, Mayberry assured fans that CHVRCHES was still a going concern. [1]
- Mayberry had first announced details of her solo material in July 2023, describing it as ""fun, freaky, sad, weird, joyful,"" before revealing ""Are You Awake?"" as her debut single. [4]
- Mayberry described the origin of ""Are You Awake?"" as a moment of self-doubt written on a rainy day in Los Angeles: ""I don't know what you're doing here – this is a terrible idea. You've missed everything in everyone's lives because you've moved away to make this thing and maybe that's dumb. Everyone else has made the right decisions and you've chosen the wrong things to focus on. You're an idiot."" She added: ""Then I got a song out of it!"" [4]
- Mayberry described the decision to release ""Are You Awake?"" first rather than a more uptempo track: ""something that was so not in the Chvrches universe would be the best thing to start with to cleanse the pallet and scorch the earth""; she noted her initial instinct had been ""'Let's get the fucking bangers going!'"" Explaining the same decision backstage at her first solo concert (2023-09-04), she added: ""something that's so different is a good palate cleanser. It kind of, like, scorches the earth... But then there's definitely more bangers."" [4,2]
- Mayberry described the production of ""Are You Awake?"" as deliberately sparse: ""It's not hidden behind any production; there's just a handful of elements. To me, that feels terrifying."" She also clarified the debut solo album would ""not...be an album of piano ballads."" [4]
- ""Are You Awake?"" was written on a rainy afternoon in Los Angeles in approximately 2022-12, co-written by Mayberry and Tobias Jesso Jr. Both were away from home in Los Angeles; Mayberry noted ""he's not from there and I'm not from there."" Neither had been home for two Christmases in a row due to COVID-19. [5]
- ""Are You Awake?"" was performed live at the Òran Mór Q&A in Glasgow on 2024-12-08. [5]","1. www.allmusic.com-artist-chvrches-mn0003052164-related
2. www.npr.org-2023-09-06-1197862462-lauren-mayberry-chvrches-solo-are-you-awake
3. www.theskinny.co.uk-music-interviews-chvrches-interview-screen-violence
4. www.nme.com-news-music-chvrches-lauren-mayberry-interview-solo-female-perspective-tour-album-future-3510639
5. www.youtube.com-watch-v-5pbl7IGVk0s
"
bbc-scottish-symphony-2019,"CHVRCHES Perform with BBC Scottish Symphony Orchestra, BBC Scotland Channel Launch, 2019",,Love Is Dead,"- In 2019, CHVRCHES performed with the BBC Scottish Symphony Orchestra to commemorate the launch of the BBC Scotland television channel. [1]",1. www.allmusic.com-artist-chvrches-mn0003052164-related
